data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
<<<<<<< HEAD
<<<<<<< HEAD
2020-05-02T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,303,16,319,1560,1879,-32,16,758,327,2964,39916,29308,,
2020-05-02T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,48,4,52,139,191,-2,2,164,25,380,13722,13722,,
2020-05-02T17:00:00,ITA,04,P.A. Bolzano,46.49933453,11.35662422,113,10,123,580,703,-54,7,1553,279,2535,43804,20036,,
2020-05-02T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,100,4,104,609,713,-14,0,311,88,1112,37928,35975,,
2020-05-02T17:00:00,ITA,15,Campania,40.83956555,14.25084984,470,27,497,2224,2721,-32,15,1376,362,4459,83592,45955,,
2020-05-02T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,2033,196,2229,7094,9323,-161,206,12913,3614,25850,192135,128005,,
2020-05-02T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,131,5,136,973,1109,-6,18,1655,295,3059,73855,47259,,
2020-05-02T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1370,96,1466,2986,4452,6,84,1807,497,6756,147078,114761,,
2020-05-02T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,647,68,715,2883,3598,80,186,3519,1195,8312,53202,34037,,
2020-05-02T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,6529,545,7074,29593,36667,194,533,26146,14189,77002,403702,243383,dc-IT-0016,dc-EN-0016
2020-05-02T17:00:00,ITA,11,Marche,43.61675973,13.5188753,399,46,445,2760,3205,-6,23,2177,916,6298,62834,41156,,
2020-05-02T17:00:00,ITA,14,Molise,41.55774754,14.65916051,9,1,10,172,182,-8,1,98,21,301,7075,6808,,
2020-05-02T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,2550,178,2728,12991,15719,157,495,8334,3126,27179,168479,118814,,
2020-05-02T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,416,39,455,2499,2954,7,34,757,422,4133,65370,63782,,
